index,address_1,address_2,name,expiration_date
1276,ŚW. JANA,2,LOŻA KRZYSZTOF NOWOSAD SPÓŁKA JAWNA,2021-05-09
1277,ŚW. JANA,3,SFINKS POLSKA SPÓŁKA AKCYJNA,2021-11-09
1278,ŚW. JANA,5,"JANISZEWSKA JOANNA, JANISZEWSKI TOMASZ",2021-01-05
1279,ŚW. JANA,8,BULLDOG BAR UGLY SALOON SPÓŁKA Z O. O. SPÓŁKA KOMANDYTOWA,2022-12-19
1280,ŚW. JANA,10,WILK PIOTR,2027-02-24
1281,ŚW. JANA,16,BAROQUE KRAKÓW SPÓŁKA Z O.O.,2021-05-31
1282,ŚW. JANA,18,NITERA RADOSŁAW,2023-01-14
1283,ŚW. JANA,30,MIDRO SYLWIA,2027-02-22
1284,ŚW. JANA,13/1,OGO SPÓŁKA Z O.O.,2021-08-31
1285,ŚW. JANA,3-5,PWIP KRAKÓW SPÓŁKA Z O.O.,2022-01-12
1286,ŚW. JANA,,BTE GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2021-02-13
1287,ŚW. KATARZYNY,2,STANCLIK ANITA,2022-09-12
1288,ŚW. KATARZYNY,4/1,DZIKI MICHAŁ,2020-09-27
1289,ŚW. KRZYŻA,13,SIENKIEWICZ ALDONA,2020-07-08
1290,ŚW. KRZYŻA,15,"BANAŚ SEBASTIAN, MIERNICZAEK MARCIN",2022-12-09
1291,ŚW. KRZYŻA,17,CHEF S RESTAURANT GROUP SPÓŁKA Z O.O. SP. K.,2022-03-26
1292,ŚW. MARKA,27,NOWAK TOMASZ,2021-01-31
1293,ŚW. MARKA,22A,CHMIELEWSKI RAFAŁ,2021-05-31
1294,ŚW. MARKA,34 A,JASICKI MAREK,2021-05-28
1295,ŚW. SEBASTIANA,6,"MATLAK ŁUKASZ, STACHNIK MARCIN",2026-09-05
1296,ŚW. SEBASTIANA,12,PERFECT HOTELS SPÓŁKA Z O.O.,2022-08-07
1297,ŚW. SEBASTIANA,33,"SMOTER JAKUB, FURTAK OKTAWIA",2023-08-07
1298,ŚW. TOMASZA,1,KASPRZYK WITOLD,2023-07-08
1299,ŚW. TOMASZA,4,WOŁKOUN MARCIN,2021-09-12
1300,ŚW. TOMASZA,5,JB KAMINSKA SPÓŁKA JAWNA,2027-02-28
1301,ŚW. TOMASZA,6,FOLKLOR KULINARNY TFMF INVESTMENT LP I WSPOLNICY SPÓŁKA JAWNA,2023-05-31
1302,ŚW. TOMASZA,7,"DZIEWAŁTOWSKI-GINTOWT ANDRZEJ, MARKOWSKA KATARZYNA, BERUS SŁAWOMIR",2023-01-15
1303,ŚW. TOMASZA,8,STARA KUCHNIA SPÓŁKA Z O. O. SPÓŁKA KOMANDYTOWA,2023-05-07
